time,open,high,low,close,tick_volume,spread,real_volume,volume
2025.05.08 03:00,20026.08,20122.7,20013.06,20065.52,9910.0,0,0,
2025.05.08 04:00,20065.56,20114.82,20065.56,20097.04,6170.0,0,0,
2025.05.08 05:00,20097.77,20169.07,20097.28,20163.77,6235.0,0,0,
2025.05.08 06:00,20163.5,20196.82,20156.58,20183.07,4885.0,0,0,
2025.05.08 07:00,20183.07,20194.53,20147.13,20155.79,5795.0,0,0,
2025.05.08 08:00,20155.57,20159.46,20123.45,20144.99,6431.0,0,0,
2025.05.08 09:00,20145.42,20190.25,20135.99,20176.7,8367.0,0,0,
2025.05.08 10:00,20176.99,20229.97,20153.17,20225.71,7105.0,0,0,
2025.05.08 11:00,20225.26,20261.45,20213.75,20244.97,5975.0,0,0,
2025.05.08 12:00,20245.5,20256.5,20226.2,20253.2,6270.0,0,0,
2025.05.08 13:00,20253.0,20255.25,20184.21,20197.5,7951.0,0,0,
2025.05.08 14:00,20197.46,20225.95,20134.96,20173.72,11762.0,0,0,
2025.05.08 15:00,20173.75,20181.96,20060.71,20088.51,16616.0,0,0,
2025.05.08 16:00,20090.5,20123.75,19978.95,20017.22,20698.0,0,0,
2025.05.08 17:00,20014.25,20315.76,19993.99,20272.22,20696.0,0,0,
2025.05.08 18:00,20272.26,20336.46,20268.5,20331.46,16559.0,0,0,
2025.05.08 19:00,20330.71,20334.97,20246.47,20249.72,15700.0,0,0,
2025.05.08 20:00,20248.71,20316.63,20234.32,20283.11,15532.0,0,0,
2025.05.08 21:00,20283.58,20330.11,20141.63,20153.63,17831.0,0,0,
2025.05.08 22:00,20152.37,20178.12,20142.84,20154.12,7494.0,0,0,
2025.05.09 00:00,20156.46,20179.52,20136.77,20160.58,4036.0,0,0,
2025.05.09 01:00,20160.32,20170.56,20125.52,20139.06,4623.0,0,0,
2025.05.09 02:00,20138.29,20139.31,20081.03,20121.08,6902.0,0,0,
2025.05.09 03:00,20121.07,20159.58,20111.77,20158.79,5600.0,0,0,
2025.05.09 04:00,20158.78,20200.24,20148.13,20152.06,5656.0,0,0,
2025.05.09 05:00,20151.32,20189.08,20124.33,20184.25,5787.0,0,0,
2025.05.09 06:00,20184.56,20193.33,20169.78,20182.79,3963.0,0,0,
2025.05.09 07:00,20182.53,20201.81,20156.27,20191.97,5320.0,0,0,
2025.05.09 08:00,20191.83,20203.26,20172.2,20189.7,5614.0,0,0,
2025.05.09 09:00,20189.51,20231.9,20167.22,20192.26,8553.0,0,0,
2025.05.09 10:00,20191.95,20201.01,20164.71,20173.75,7253.0,0,0,
2025.05.09 11:00,20173.72,20198.76,20171.46,20196.96,5438.0,0,0,
2025.05.09 12:00,20197.45,20237.01,20195.45,20230.24,5765.0,0,0,
2025.05.09 13:00,20229.21,20282.49,20141.57,20205.72,10502.0,0,0,
2025.05.09 14:00,20205.74,20252.75,20195.25,20231.74,9021.0,0,0,
2025.05.09 15:00,20231.96,20278.71,20204.22,20253.71,15412.0,0,0,
2025.05.09 16:00,20251.21,20274.45,20057.95,20141.51,20549.0,0,0,
2025.05.09 17:00,20142.26,20174.97,20103.2,20169.74,17848.0,0,0,
2025.05.09 18:00,20168.45,20173.7,20071.97,20087.49,16605.0,0,0,
2025.05.09 19:00,20087.7,20160.22,20060.72,20155.01,15560.0,0,0,
2025.05.09 20:00,20153.45,20158.82,20109.63,20140.86,13905.0,0,0,
2025.05.09 21:00,20140.32,20184.13,20127.33,20135.62,15798.0,0,0,
2025.05.12 00:00,20398.5,20468.65,20376.77,20406.82,6362.0,0,0,
2025.05.12 01:00,20407.07,20502.07,20403.27,20452.04,6714.0,0,0,
2025.05.12 02:00,20452.78,20507.24,20441.56,20492.82,7768.0,0,0,
2025.05.12 03:00,20492.32,20545.83,20488.08,20516.04,7493.0,0,0,
2025.05.12 04:00,20515.74,20532.29,20503.31,20528.08,4657.0,0,0,
2025.05.12 05:00,20528.07,20537.33,20511.46,20526.26,3902.0,0,0,
2025.05.12 06:00,20525.99,20534.47,20520.07,20530.28,2823.0,0,0,
2025.05.12 07:00,20530.34,20562.08,20522.83,20552.06,4113.0,0,0,
2025.05.12 08:00,20551.79,20592.5,20541.2,20562.71,5914.0,0,0,
2025.05.12 09:00,20563.24,20930.0,20562.65,20810.0,15112.0,0,0,
2025.05.12 10:00,20810.71,20897.22,20778.24,20875.72,12135.0,0,0,
2025.05.12 11:00,20876.45,20912.7,20873.47,20905.96,8014.0,0,0,
2025.05.12 12:00,20906.22,20982.16,20881.96,20971.26,10219.0,0,0,
